Date,Expenses,Category,Amount,Municipality,Province,Region,ID
7-18-2021,Electricity/Water,Obligation,368,Quezon City,Metro Manila,National Capital Region,E2021-294
7-18-2021,Food/Drinks,Survival,109,Quezon City,Metro Manila,National Capital Region,E2021-295
7-18-2021,Bank fees,Unexpected,30,Quezon City,Metro Manila,National Capital Region,E2021-296
7-19-2021,Food/Drinks,Optional,30,Quezon City,Metro Manila,National Capital Region,E2021-297
7-20-2021,Grocery,Survival,745.74,Quezon City,Metro Manila,National Capital Region,E2021-298
7-20-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-299
7-21-2021,Debt repayment,Obligation,5.04,Quezon City,Metro Manila,National Capital Region,E2021-300
7-23-2021,Food/Drinks,Survival,93,Quezon City,Metro Manila,National Capital Region,E2021-301
7-27-2021,Grocery,Survival,521.9,Quezon City,Metro Manila,National Capital Region,E2021-302
7-27-2021,Personal care items (drugstore),Survival,221.5,Quezon City,Metro Manila,National Capital Region,E2021-303
7-27-2021,Food/Drinks,Survival,100,Quezon City,Metro Manila,National Capital Region,E2021-304
7-27-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-305
7-27-2021,Hair Cut,Survival,70,Quezon City,Metro Manila,National Capital Region,E2021-306
7-27-2021,Transportation,Survival,40,Quezon City,Metro Manila,National Capital Region,E2021-307
7-27-2021,Bank fees,Obligation,25,Quezon City,Metro Manila,National Capital Region,E2021-308
7-28-2021,Electricity/Water,Obligation,130.61,Quezon City,Metro Manila,National Capital Region,E2021-309
7-29-2021,Apartment,Obligation,1000,Quezon City,Metro Manila,National Capital Region,E2021-310
7-30-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-311
7-30-2021,Debt repayment,Obligation,2800,Makati City,Metro Manila,National Capital Region,E2021-312
7-31-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-313
8-2-2021,Phone/Internet,Optional,99,Quezon City,Metro Manila,National Capital Region,E2021-314
8-4-2021,Grocery,Survival,639.05,Quezon City,Metro Manila,National Capital Region,E2021-315
8-4-2021,Home,Obligation,300,Quezon City,Metro Manila,National Capital Region,E2021-316
8-4-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-317
8-6-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-318
8-8-2021,Food/Drinks,Survival,74,Quezon City,Metro Manila,National Capital Region,E2021-319
8-10-2021,Grocery,Survival,731.25,Quezon City,Metro Manila,National Capital Region,E2021-320
8-10-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-321
8-11-2021,Electricity/Water,Obligation,376.5,Quezon City,Metro Manila,National Capital Region,E2021-322
8-12-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-323
8-12-2021,Food/Drinks,Survival,10,Quezon City,Metro Manila,National Capital Region,E2021-324
8-13-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-325
8-14-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-326
8-14-2021,Bank fees,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-327
8-15-2021,Home,Optional,5000,Pontevedra,Capiz,Western Visayas,E2021-328
8-15-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-329
8-15-2021,Food/Drinks,Survival,143,Quezon City,Metro Manila,National Capital Region,E2021-330
8-17-2021,Grocery,Survival,603,Quezon City,Metro Manila,National Capital Region,E2021-331
8-17-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-332
8-18-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-333
8-19-2021,Pension Fund,Obligation,1300,Makati City,Metro Manila,National Capital Region,E2021-334
8-20-2021,Debt repayment,Obligation,9.05,Quezon City,Metro Manila,National Capital Region,E2021-335
8-22-2021,Food/Drinks,Survival,150,Quezon City,Metro Manila,National Capital Region,E2021-336
8-24-2021,Grocery,Survival,409.4,Quezon City,Metro Manila,National Capital Region,E2021-337
8-24-2021,Food/Drinks,Survival,65,Quezon City,Metro Manila,National Capital Region,E2021-338
8-24-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-339
8-25-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-340
8-27-2021,Electricity/Water,Obligation,130.61,Quezon City,Metro Manila,National Capital Region,E2021-341
8-28-2021,Home,Optional,5000,Pontevedra,Capiz,Western Visayas,E2021-342
8-28-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-343
8-28-2021,Apartment,Obligation,3000,Quezon City,Metro Manila,National Capital Region,E2021-344
8-28-2021,Debt repayment,Obligation,2800,Makati City,Metro Manila,National Capital Region,E2021-345
8-28-2021,Bank fees,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-346
8-29-2021,Food/Drinks,Survival,43,Quezon City,Metro Manila,National Capital Region,E2021-347
8-30-2021,Grocery,Survival,500.6,Quezon City,Metro Manila,National Capital Region,E2021-348
8-30-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-349
8-30-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-350
9-2-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-351
9-2-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-352
9-4-2021,Apartment,Obligation,3000,Quezon City,Metro Manila,National Capital Region,E2021-353
9-4-2021,Home,Obligation,300,Quezon City,Metro Manila,National Capital Region,E2021-354
9-5-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-355
9-5-2021,Food/Drinks,Survival,60,Quezon City,Metro Manila,National Capital Region,E2021-356
9-6-2021,Food/Drinks,Survival,118,Quezon City,Metro Manila,National Capital Region,E2021-357
9-7-2021,Grocery,Survival,561.81,Quezon City,Metro Manila,National Capital Region,E2021-358
9-7-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-359
9-7-2021,Food/Drinks,Survival,23,Quezon City,Metro Manila,National Capital Region,E2021-360
9-8-2021,Food/Drinks,Survival,27,Quezon City,Metro Manila,National Capital Region,E2021-361
9-9-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-362
9-10-2021,Food/Drinks,Survival,128,Quezon City,Metro Manila,National Capital Region,E2021-363
9-11-2021,Home,Optional,100,Quezon City,Metro Manila,National Capital Region,E2021-364
9-12-2021,Food/Drinks,Survival,96,Quezon City,Metro Manila,National Capital Region,E2021-365
9-12-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-366
9-14-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-367
9-14-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-368
9-14-2021,Pension Fund,Obligation,1300,Makati City,Metro Manila,National Capital Region,E2021-369
9-14-2021,Bank fees,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-370
9-15-2021,Grocery,Survival,419.51,Quezon City,Metro Manila,National Capital Region,E2021-371
9-15-2021,Phone/Internet,Optional,199,Quezon City,Metro Manila,National Capital Region,E2021-372
9-16-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-373
9-17-2021,Electricity/Water,Obligation,400,Quezon City,Metro Manila,National Capital Region,E2021-374
9-18-2021,Food/Drinks,Survival,267,Quezon City,Metro Manila,National Capital Region,E2021-375
9-18-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-376
9-20-2021,Food/Drinks,Survival,88,Quezon City,Metro Manila,National Capital Region,E2021-377
9-20-2021,Debt repayment,Obligation,4.86,Quezon City,Metro Manila,National Capital Region,E2021-378
9-21-2021,Grocery,Survival,713.67,Quezon City,Metro Manila,National Capital Region,E2021-379
9-21-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-380
9-22-2021,Phone/Internet,Optional,199,Quezon City,Metro Manila,National Capital Region,E2021-381
9-24-2021,Grocery,Survival,429.4,Quezon City,Metro Manila,National Capital Region,E2021-382
9-24-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-383
9-25-2021,Home,Unexpected,125,Pontevedra,Capiz,Western Visayas,E2021-384
9-26-2021,Electricity/Water,Obligation,130.61,Quezon City,Metro Manila,National Capital Region,E2021-385
9-27-2021,Healthcare,Optional,2000,Pontevedra,Capiz,Western Visayas,E2021-386
9-27-2021,Phone/Internet,Unexpected,90,Quezon City,Metro Manila,National Capital Region,E2021-387
9-27-2021,Food/Drinks,Survival,89,Quezon City,Metro Manila,National Capital Region,E2021-388
9-28-2021,Others,Unexpected,1540,Quezon City,Metro Manila,National Capital Region,E2021-389
9-28-2021,Grocery,Survival,317,Quezon City,Metro Manila,National Capital Region,E2021-390
9-28-2021,Transportation,Survival,80,Quezon City,Metro Manila,National Capital Region,E2021-391
9-28-2021,Food/Drinks,Survival,20,Quezon City,Metro Manila,National Capital Region,E2021-392
9-29-2021,Home,Optional,5500,Pontevedra,Capiz,Western Visayas,E2021-393
9-29-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-394
9-29-2021,Debt repayment,Obligation,2800,Makati City,Metro Manila,National Capital Region,E2021-395
9-30-2021,Bank fees,Obligation,600,Quezon City,Metro Manila,National Capital Region,E2021-396
9-30-2021,Grocery,Survival,401.71,Quezon City,Metro Manila,National Capital Region,E2021-397
9-30-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-398
9-30-2021,Bank fees,Obligation,40,Quezon City,Metro Manila,National Capital Region,E2021-399
10-1-2021,Home,Obligation,6800,Pontevedra,Capiz,Western Visayas,E2021-400
10-2-2021,Phone/Internet,Optional,199,Quezon City,Metro Manila,National Capital Region,E2021-401
10-3-2021,Food/Drinks,Survival,104,Quezon City,Metro Manila,National Capital Region,E2021-402
10-4-2021,Home,Obligation,2500,Pontevedra,Capiz,Western Visayas,E2021-403
10-5-2021,Grocery,Survival,592.75,Quezon City,Metro Manila,National Capital Region,E2021-404
10-5-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-405
10-6-2021,Home,Obligation,2000,Pontevedra,Capiz,Western Visayas,E2021-406
10-6-2021,Home,Obligation,200,Quezon City,Metro Manila,National Capital Region,E2021-407
10-7-2021,Home,Obligation,15000,Pontevedra,Capiz,Western Visayas,E2021-408
10-7-2021,Food/Drinks,Survival,96,Quezon City,Metro Manila,National Capital Region,E2021-409
10-8-2021,Home,Obligation,1500,Pontevedra,Capiz,Western Visayas,E2021-410
10-8-2021,Phone/Internet,Optional,199,Quezon City,Metro Manila,National Capital Region,E2021-411
10-8-2021,Food/Drinks,Obligation,59,Quezon City,Metro Manila,National Capital Region,E2021-412
10-9-2021,Grocery,Survival,236.5,Quezon City,Metro Manila,National Capital Region,E2021-413
10-9-2021,Personal care items (drugstore),Survival,220,Quezon City,Metro Manila,National Capital Region,E2021-414
10-9-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-415
10-9-2021,Bank fees,Obligation,18,Quezon City,Metro Manila,National Capital Region,E2021-416
10-12-2021,Home,Obligation,15000,Pontevedra,Capiz,Western Visayas,E2021-417
